BusinessEntityID,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,BikeBuyer 
14488,S,50001-75000,M,3,0,Graduate Degree,Management,0,2,1
14539,S,25001-50000,M,3,0,Graduate Degree,Clerical,1,0,0
14554,S,0-25000,M,3,0,Partial High School,Clerical,0,2,0
13065,S,25001-50000,M,3,0,High School,Skilled Manual,1,2,1
13052,S,0-25000,F,3,0,Partial High School,Clerical,1,2,0
13050,S,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,1
14605,S,75001-100000,M,0,2,Partial College,Professional,1,2,0
14622,S,25001-50000,F,0,0,High School,Manual,0,1,0
14654,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,0
14673,S,50001-75000,F,4,4,Bachelors ,Professional,1,3,1
14688,S,0-25000,M,1,1,Partial College,Manual,0,0,1
13684,S,greater than 100000,M,0,5,Partial High School,Professional,1,4,1
14722,S,0-25000,M,0,0,Graduate Degree,Manual,1,0,1
14737,S,50001-75000,M,0,0,Bachelors ,Professional,1,3,0
14739,S,75001-100000,M,5,4,Partial College,Professional,0,3,0
14394,S,50001-75000,F,0,0,Bachelors ,Professional,0,1,1
14397,S,50001-75000,F,4,2,Bachelors ,Professional,0,2,1
14429,S,75001-100000,M,1,0,Bachelors ,Management,0,3,0
14430,S,25001-50000,M,3,0,Graduate Degree,Management,1,2,0
14444,S,25001-50000,M,2,0,High School,Skilled Manual,1,2,1
14479,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,0
14497,S,25001-50000,M,2,0,Graduate Degree,Management,1,2,0
14611,S,0-25000,M,1,1,High School,Manual,0,1,0
14630,S,25001-50000,M,0,0,Bachelors ,Professional,0,1,1
14648,S,25001-50000,M,4,4,Partial College,Clerical,1,3,1
14662,S,50001-75000,M,3,0,Graduate Degree,Management,0,2,0
14680,S,50001-75000,M,4,4,Bachelors ,Skilled Manual,1,2,0
14697,S,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,0
14530,S,75001-100000,F,1,0,Bachelors ,Management,0,4,0
14529,S,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,1
14747,S,50001-75000,M,3,3,Bachelors ,Professional,1,2,0
14762,S,25001-50000,M,3,2,High School,Skilled Manual,1,2,1
14481,S,75001-100000,M,4,2,Partial College,Professional,1,2,0
13478,S,greater than 100000,M,0,1,Graduate Degree,Management,0,3,1
14545,S,50001-75000,M,2,1,Partial College,Professional,1,1,0
14546,S,50001-75000,M,0,0,Partial College,Skilled Manual,1,1,1
13460,S,50001-75000,M,3,2,Bachelors ,Professional,1,1,0
13910,S,greater than 100000,M,1,3,Bachelors ,Management,1,3,1
14613,S,0-25000,M,0,0,High School,Manual,1,1,1
14614,S,25001-50000,M,4,0,High School,Professional,0,2,0
14628,S,greater than 100000,M,2,4,High School,Professional,0,3,1
14631,S,0-25000,M,0,0,Partial High School,Manual,0,2,1
13909,S,75001-100000,M,2,0,Partial High School,Skilled Manual,1,2,0
14664,S,25001-50000,M,1,1,Bachelors ,Clerical,0,0,1
14681,S,0-25000,M,2,1,Partial High School,Clerical,1,2,1
13896,S,greater than 100000,F,3,2,Bachelors ,Management,1,4,1
14728,S,25001-50000,M,5,5,Partial College,Clerical,1,3,0
14731,S,50001-75000,M,0,0,Partial College,Skilled Manual,0,1,1
14745,S,50001-75000,M,4,4,Bachelors ,Professional,1,3,0
14763,S,0-25000,M,0,0,Bachelors ,Clerical,1,0,0
14370,S,50001-75000,F,3,0,Partial College,Professional,1,2,1
14389,S,50001-75000,M,5,4,Bachelors ,Professional,0,2,0
14402,S,50001-75000,M,3,0,Graduate Degree,Management,1,2,1
14419,S,50001-75000,M,2,0,High School,Skilled Manual,0,2,1
14421,S,0-25000,M,4,3,Partial High School,Manual,1,2,0
14438,S,25001-50000,M,0,0,High School,Skilled Manual,1,1,0
14453,S,50001-75000,M,3,0,Graduate Degree,Management,1,2,0
14470,S,25001-50000,M,2,0,Partial College,Clerical,1,1,1
14489,S,25001-50000,M,1,0,Graduate Degree,Skilled Manual,1,0,0
1699,M,25001-50000,M,4,0,Graduate Degree,Clerical,1,0,0
1706,M,0-25000,M,0,0,Partial College,Manual,1,1,0
1724,M,0-25000,M,2,1,Partial High School,Clerical,1,2,1
1756,M,50001-75000,F,1,1,Graduate Degree,Skilled Manual,1,0,1
1781,M,50001-75000,F,4,4,Bachelors ,Skilled Manual,1,3,0
1711,M,75001-100000,M,5,0,Partial High School,Skilled Manual,1,2,0
1779,M,greater than 100000,F,4,5,Partial College,Professional,0,3,0
1744,M,50001-75000,M,2,1,High School,Professional,1,2,0
1743,M,0-25000,F,1,0,Graduate Degree,Clerical,1,0,0
1726,M,0-25000,F,2,0,Partial College,Manual,1,1,0
1728,M,25001-50000,M,3,0,High School,Skilled Manual,0,2,0
1746,M,0-25000,M,2,1,Partial High School,Clerical,0,2,1
1759,M,25001-50000,F,0,0,Bachelors ,Clerical,1,0,1
1760,M,0-25000,M,2,1,Partial High School,Clerical,1,2,0
1777,M,75001-100000,M,5,0,Bachelors ,Management,0,2,0
1778,M,75001-100000,F,2,0,Bachelors ,Professional,1,1,0
1716,M,greater than 100000,M,3,4,Partial College,Professional,1,3,1
1741,M,75001-100000,F,0,5,High School,Management,0,2,0
1748,M,greater than 100000,M,3,3,Partial College,Professional,1,4,0
1773,M,0-25000,F,4,4,High School,Manual,1,1,1
1775,M,0-25000,M,1,0,Graduate Degree,Clerical,1,0,0
1780,M,greater than 100000,M,0,5,High School,Management,0,4,1
1784,M,75001-100000,M,0,5,High School,Management,1,2,1
1708,M,0-25000,F,2,1,Partial High School,Clerical,1,2,0
1765,M,greater than 100000,M,2,5,Bachelors ,Management,1,2,1
1772,M,25001-50000,M,4,0,High School,Professional,0,2,0
1783,M,0-25000,M,3,0,High School,Manual,0,2,0
1758,M,25001-50000,M,1,0,Bachelors ,Skilled Manual,1,0,1
1747,M,greater than 100000,F,2,4,Partial College,Professional,1,3,0
1740,M,greater than 100000,F,4,5,Partial High School,Professional,1,3,1
2383,M,0-25000,F,5,5,Partial High School,Manual,1,0,0
2390,M,greater than 100000,F,4,5,Partial High School,Professional,0,3,1
1703,M,50001-75000,M,2,2,Bachelors ,Professional,1,1,1
1718,M,0-25000,F,4,3,Partial High School,Manual,1,2,0
1752,M,greater than 100000,M,4,5,High School,Professional,0,3,0
1769,M,25001-50000,F,1,0,High School,Clerical,1,1,1
2386,M,75001-100000,F,5,5,Bachelors ,Professional,1,4,0
1702,M,25001-50000,M,1,0,Bachelors ,Clerical,1,0,1
1704,M,greater than 100000,F,3,4,Partial College,Professional,1,3,1
1734,M,75001-100000,M,5,0,Bachelors ,Management,1,2,0
1738,M,50001-75000,M,5,4,Partial College,Skilled Manual,1,3,0
1753,M,50001-75000,M,3,3,Bachelors ,Professional,0,2,0
1700,M,50001-75000,F,3,3,Bachelors ,Professional,1,1,0
1725,M,50001-75000,M,5,0,Bachelors ,Management,1,3,0
1730,M,greater than 100000,M,4,5,Partial High School,Professional,1,3,1
1755,M,25001-50000,F,2,0,Partial College,Skilled Manual,1,2,1
1757,M,25001-50000,M,3,0,Partial College,Professional,1,2,1
1764,M,50001-75000,F,5,1,High School,Professional,0,2,0
1766,M,75001-100000,M,0,0,Bachelors ,Professional,1,3,0
2404,M,75001-100000,M,0,0,Bachelors ,Professional,0,3,1
2406,M,greater than 100000,F,2,4,Graduate Degree,Management,1,3,0
2421,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,0
2423,M,25001-50000,F,1,0,Bachelors ,Skilled Manual,1,0,0
2440,M,25001-50000,F,3,3,Partial College,Clerical,1,2,0
2453,M,0-25000,F,2,0,Partial College,Manual,1,1,1
2455,M,25001-50000,F,2,0,Bachelors ,Management,1,1,0
2470,M,50001-75000,F,5,0,Bachelors ,Management,1,2,0
2472,M,75001-100000,F,2,0,Bachelors ,Professional,1,0,1
2538,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,1
2540,M,50001-75000,F,2,0,High School,Professional,0,2,0
2557,M,25001-50000,M,0,0,Bachelors ,Professional,1,0,1
2589,M,25001-50000,M,3,0,High School,Skilled Manual,0,2,0
2604,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,1
2606,M,75001-100000,M,5,4,Partial College,Professional,1,3,0
2621,M,75001-100000,M,5,0,Partial College,Professional,0,2,0
2623,M,75001-100000,M,4,0,Graduate Degree,Professional,1,0,1
2638,M,0-25000,F,1,0,Partial College,Manual,1,0,0
2657,M,25001-50000,F,2,2,Partial College,Clerical,0,2,0
2381,M,25001-50000,M,1,0,Bachelors ,Skilled Manual,1,1,1
2414,M,50001-75000,F,5,2,Partial College,Professional,1,2,1
2428,M,0-25000,F,2,1,High School,Manual,1,2,0
2445,M,75001-100000,F,5,5,Graduate Degree,Management,1,3,0
2446,M,0-25000,M,1,0,Graduate Degree,Clerical,1,0,0
2463,M,50001-75000,F,5,0,Graduate Degree,Management,1,2,1
2464,M,75001-100000,F,3,0,Graduate Degree,Professional,1,0,1
2478,M,25001-50000,F,1,1,Bachelors ,Clerical,1,0,1
2481,M,50001-75000,F,3,3,Bachelors ,Professional,1,2,1
2495,M,greater than 100000,F,4,4,Bachelors ,Management,1,4,1
2513,M,25001-50000,F,2,0,High School,Skilled Manual,1,2,0
2528,M,25001-50000,F,1,0,High School,Clerical,1,1,1
2545,M,75001-100000,F,5,5,Graduate Degree,Management,1,3,0
2546,M,25001-50000,F,0,0,Graduate Degree,Clerical,1,0,1
2564,M,25001-50000,M,2,2,Partial College,Clerical,1,1,1
2582,M,0-25000,M,1,1,Partial College,Manual,1,0,1
2596,M,50001-75000,F,5,0,Graduate Degree,Management,1,2,1
2613,M,0-25000,M,4,4,High School,Manual,0,1,0
2632,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2645,M,greater than 100000,F,2,4,High School,Professional,1,3,1
2646,M,25001-50000,F,0,0,Graduate Degree,Clerical,1,0,1
2663,M,0-25000,F,2,0,Partial College,Manual,1,1,1
2681,M,0-25000,M,4,0,High School,Manual,0,2,0
2682,M,0-25000,M,3,3,High School,Manual,1,0,1
2695,M,75001-100000,M,4,2,High School,Professional,1,2,0
2401,M,25001-50000,F,2,0,Bachelors ,Management,1,2,0
2408,M,25001-50000,F,4,4,Bachelors ,Skilled Manual,1,1,0
2426,M,25001-50000,F,0,0,Bachelors ,Professional,1,0,1
2469,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2494,M,75001-100000,M,5,1,High School,Management,1,4,0
2501,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2526,M,greater than 100000,F,3,4,High School,Professional,1,2,1
2533,M,50001-75000,F,1,0,Bachelors ,Professional,1,1,0
2551,M,75001-100000,M,5,0,Bachelors ,Management,1,2,0
2558,M,25001-50000,M,3,0,Partial College,Skilled Manual,1,2,1
2569,M,75001-100000,M,1,0,Graduate Degree,Management,1,0,1
2583,M,greater than 100000,M,4,5,High School,Management,1,3,0
2594,M,50001-75000,M,5,5,Bachelors ,Professional,1,3,0
2619,M,greater than 100000,M,3,4,Partial College,Professional,1,3,1
2626,M,50001-75000,F,0,0,Partial College,Professional,1,2,1
2633,M,25001-50000,F,3,0,Graduate Degree,Clerical,0,0,1
2658,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,1
2683,M,75001-100000,F,3,2,Partial College,Professional,1,1,1
2403,M,25001-50000,F,2,0,Bachelors ,Management,1,2,1
2405,M,50001-75000,F,2,1,Partial College,Professional,1,2,0
2422,M,25001-50000,F,0,0,Bachelors ,Clerical,0,0,1
2437,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2454,M,25001-50000,F,3,0,High School,Skilled Manual,0,2,1
2456,M,75001-100000,F,1,0,Graduate Degree,Management,1,0,1
2471,M,25001-50000,F,3,0,Partial College,Clerical,0,2,1
2486,M,75001-100000,F,3,3,Bachelors ,Professional,1,0,1
2488,M,75001-100000,F,0,0,Bachelors ,Professional,1,2,0
2503,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,1
2520,M,25001-50000,F,4,3,High School,Skilled Manual,1,2,0
2522,M,50001-75000,F,5,4,Partial College,Skilled Manual,1,2,0
2539,M,75001-100000,F,5,0,Partial High School,Skilled Manual,0,2,0
2554,M,greater than 100000,M,4,1,Bachelors ,Management,1,3,0
2556,M,greater than 100000,M,0,5,Partial College,Management,0,3,1
2571,M,0-25000,M,0,0,High School,Manual,1,2,1
2573,M,25001-50000,M,4,2,High School,Skilled Manual,0,3,0
2588,M,greater than 100000,F,3,2,Bachelors ,Management,1,3,1
2607,M,50001-75000,M,2,0,Graduate Degree,Professional,1,0,0
2620,M,0-25000,M,4,0,High School,Skilled Manual,1,2,0
2622,M,50001-75000,M,5,0,Bachelors ,Management,1,2,0
2637,M,75001-100000,F,0,0,Bachelors ,Professional,1,3,1
2654,M,25001-50000,F,3,0,Bachelors ,Clerical,1,0,0
2673,M,greater than 100000,F,3,4,Partial College,Professional,1,4,0
2690,M,75001-100000,F,0,0,Bachelors ,Professional,0,4,0
2393,M,greater than 100000,F,0,5,High School,Management,1,4,1
2400,M,0-25000,F,1,0,Graduate Degree,Clerical,1,0,0
2402,M,25001-50000,F,1,0,Bachelors ,Skilled Manual,1,0,1
2425,M,50001-75000,F,4,0,Bachelors ,Management,1,2,0
2427,M,0-25000,M,1,1,Partial College,Manual,0,0,1
2434,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,0,1
2457,M,25001-50000,F,1,0,Graduate Degree,Skilled Manual,1,0,0
2466,M,25001-50000,F,3,0,Partial College,Clerical,0,2,0
2468,M,0-25000,F,2,0,Partial College,Manual,1,0,0
2500,M,greater than 100000,F,0,5,Partial High School,Professional,0,4,0
2502,M,50001-75000,F,1,0,Bachelors ,Professional,1,1,1
2534,M,75001-100000,F,4,1,High School,Professional,1,2,0
2536,M,greater than 100000,F,1,2,Bachelors ,Management,1,1,0
2559,M,0-25000,M,2,2,High School,Manual,1,2,0
2561,M,25001-50000,F,3,0,Partial College,Professional,1,2,0
2566,M,greater than 100000,M,2,2,Bachelors ,Management,1,3,1
2600,M,25001-50000,M,0,0,High School,Skilled Manual,1,1,0
2634,M,0-25000,F,1,0,Bachelors ,Clerical,1,0,0
2636,M,75001-100000,F,0,0,Bachelors ,Professional,0,4,1
2668,M,0-25000,F,3,0,Partial College,Manual,0,2,1
2691,M,75001-100000,M,2,0,Graduate Degree,Professional,1,0,1
2693,M,25001-50000,M,1,1,Bachelors ,Clerical,1,0,1
2700,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,1,1
2398,M,25001-50000,F,0,0,Bachelors ,Professional,1,0,1
2429,M,25001-50000,F,3,0,Graduate Degree,Clerical,1,0,1
2430,M,0-25000,F,4,0,High School,Skilled Manual,0,2,0
2462,M,0-25000,F,0,0,Partial College,Manual,1,1,1
2465,M,50001-75000,F,3,0,Partial College,Professional,1,2,1
2479,M,0-25000,F,0,0,Graduate Degree,Manual,1,0,1
2480,M,75001-100000,F,4,1,Partial College,Professional,1,2,0
2498,M,75001-100000,F,4,1,High School,Professional,1,2,0
2512,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2548,M,50001-75000,F,5,4,Partial College,Skilled Manual,1,2,0
2565,M,50001-75000,M,2,0,High School,Skilled Manual,1,2,1
2579,M,0-25000,M,4,0,High School,Skilled Manual,1,2,0
2629,M,25001-50000,F,1,0,Bachelors ,Clerical,1,0,0
2662,M,50001-75000,F,1,0,Graduate Degree,Skilled Manual,1,0,0
2665,M,50001-75000,M,0,0,Bachelors ,Professional,1,4,0
2698,M,25001-50000,F,4,0,High School,Professional,0,2,0
2385,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,1,1
2392,M,25001-50000,M,1,0,Bachelors ,Skilled Manual,1,0,1
2410,M,50001-75000,F,3,2,Partial College,Professional,1,0,1
2417,M,75001-100000,F,0,0,Bachelors ,Professional,0,3,0
2442,M,0-25000,F,2,0,Partial College,Manual,1,1,1
2460,M,50001-75000,F,5,4,Graduate Degree,Professional,1,2,0
2467,M,50001-75000,F,5,4,Partial College,Skilled Manual,1,3,0
2485,M,25001-50000,F,0,0,Graduate Degree,Clerical,1,0,1
2492,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,0,1
2499,M,25001-50000,F,2,0,Partial College,Clerical,0,2,0
2535,M,0-25000,F,2,2,High School,Manual,1,1,1
2560,M,25001-50000,M,2,0,Partial College,Clerical,0,2,1
2592,M,25001-50000,M,1,0,Bachelors ,Clerical,1,0,1
2599,M,0-25000,M,1,1,Partial College,Manual,1,0,0
2610,M,25001-50000,M,1,0,Bachelors ,Clerical,1,0,1
2617,M,25001-50000,M,0,0,Partial College,Clerical,0,1,1
2628,M,0-25000,F,4,4,High School,Manual,1,2,0
2635,M,50001-75000,F,0,0,Bachelors ,Professional,1,3,0
2642,M,25001-50000,F,3,0,Graduate Degree,Clerical,1,0,1
2649,M,25001-50000,F,1,0,Bachelors ,Skilled Manual,1,0,0
2653,M,75001-100000,F,5,5,Bachelors ,Professional,1,4,0
2660,M,25001-50000,F,0,0,Graduate Degree,Skilled Manual,1,0,1
2667,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,1,0
2407,M,0-25000,F,0,0,Partial High School,Manual,1,2,0
2441,M,25001-50000,F,4,0,Graduate Degree,Clerical,1,0,0
2477,M,50001-75000,F,2,1,Partial College,Professional,1,1,0
2482,M,25001-50000,F,2,1,High School,Professional,1,2,0
2552,M,greater than 100000,M,4,4,Bachelors ,Management,1,3,1
2575,M,75001-100000,M,5,0,Partial College,Professional,0,2,0
2550,M,25001-50000,F,1,0,Bachelors ,Skilled Manual,1,0,1
2541,M,75001-100000,F,4,0,Graduate Degree,Professional,1,0,1
2675,M,25001-50000,F,2,0,Graduate Degree,Management,1,2,0
2677,M,25001-50000,F,1,0,Graduate Degree,Clerical,1,0,0
2684,M,0-25000,M,4,4,Partial High School,Manual,1,1,1
2686,M,50001-75000,F,3,0,Graduate Degree,Management,1,2,0
2709,M,50001-75000,F,0,0,Partial College,Skilled Manual,1,2,1
2716,M,50001-75000,F,5,5,Bachelors ,Skilled Manual,1,3,0
2718,M,50001-75000,M,3,3,Bachelors ,Professional,1,1,0
2741,M,0-25000,M,1,1,Partial College,Manual,1,1,0
2743,M,25001-50000,M,0,0,Graduate Degree,Clerical,1,0,1
2745,M,0-25000,M,0,0,Partial College,Manual,0,1,0
2752,M,25001-50000,F,0,0,Partial College,Skilled Manual,1,1,0
2775,M,50001-75000,F,4,3,Bachelors ,Professional,0,1,0
2705,M,25001-50000,M,1,1,Bachelors ,Clerical,0,1,1
2707,M,75001-100000,M,1,0,Partial College,Skilled Manual,1,1,1
2720,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,0,1
2724,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,0
2773,M,75001-100000,F,3,1,Bachelors ,Management,1,1,0
2788,M,25001-50000,F,0,0,Bachelors ,Clerical,0,0,0
2790,M,25001-50000,M,0,0,Partial College,Skilled Manual,1,1,0
2805,M,50001-75000,F,2,0,High School,Professional,0,2,1
2807,M,25001-50000,M,2,2,Partial College,Clerical,1,2,0
2822,M,25001-50000,F,3,0,Graduate Degree,Clerical,1,0,0
2839,M,25001-50000,M,1,1,Bachelors ,Skilled Manual,1,1,1
2871,M,0-25000,M,2,1,Partial High School,Clerical,1,2,0
2873,M,50001-75000,F,2,1,Partial College,Professional,1,1,0
2888,M,0-25000,M,1,0,Bachelors ,Clerical,1,0,1
2907,M,25001-50000,M,3,0,High School,Skilled Manual,0,2,0
2924,M,50001-75000,F,5,5,Graduate Degree,Professional,1,2,0
2954,M,75001-100000,M,0,5,Partial High School,Professional,1,4,0
2958,M,greater than 100000,F,3,1,Bachelors ,Management,1,3,1
2971,M,50001-75000,F,2,0,Graduate Degree,Management,1,2,0
2988,M,25001-50000,F,1,0,Partial College,Clerical,1,1,1
2703,M,greater than 100000,F,2,4,Graduate Degree,Management,1,3,0
2717,M,50001-75000,F,2,0,High School,Professional,0,2,0
2728,M,25001-50000,F,1,0,Graduate Degree,Skilled Manual,1,0,0
2735,M,50001-75000,M,5,0,Graduate Degree,Professional,0,0,1
2742,M,0-25000,M,1,1,Partial College,Manual,1,1,0
2753,M,25001-50000,F,1,0,Bachelors ,Clerical,1,0,1
2760,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,0
2767,M,25001-50000,F,4,0,High School,Professional,1,2,0
2778,M,75001-100000,M,0,0,Bachelors ,Professional,0,3,1
2792,M,75001-100000,F,4,0,Graduate Degree,Management,1,2,0
2803,M,25001-50000,F,0,0,High School,Skilled Manual,0,2,0
2810,M,50001-75000,M,4,4,Bachelors ,Professional,0,3,0
2828,M,25001-50000,F,1,0,Graduate Degree,Skilled Manual,1,0,0
2842,M,50001-75000,F,0,0,Partial College,Skilled Manual,1,1,1
2867,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,0
2892,M,25001-50000,F,1,0,Partial College,Clerical,1,1,0
2910,M,50001-75000,M,1,0,Partial College,Skilled Manual,1,1,1
2928,M,0-25000,M,0,0,Partial College,Manual,0,0,1
2935,M,0-25000,M,1,0,Bachelors ,Manual,1,0,0
2960,M,25001-50000,M,0,0,Partial College,Skilled Manual,0,1,0
2978,M,0-25000,M,2,1,Partial High School,Clerical,0,2,0
2992,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,1
2719,M,50001-75000,M,2,2,Bachelors ,Professional,1,1,1
2726,M,25001-50000,M,4,0,Graduate Degree,Clerical,1,0,1
2744,M,25001-50000,M,1,0,Bachelors ,Skilled Manual,0,0,1
2751,M,50001-75000,F,3,1,High School,Professional,1,0,0
2758,M,greater than 100000,F,3,3,Bachelors ,Management,1,3,1
2769,M,25001-50000,F,1,1,Bachelors ,Skilled Manual,1,0,1
2794,M,50001-75000,F,1,0,Graduate Degree,Professional,1,0,1
2808,M,25001-50000,F,0,0,High School,Skilled Manual,1,2,0
2819,M,greater than 100000,M,4,5,High School,Professional,1,3,1
2826,M,75001-100000,M,5,5,Bachelors ,Professional,1,4,0
2833,M,0-25000,M,2,0,Partial College,Manual,1,1,1
2844,M,50001-75000,M,4,4,Bachelors ,Professional,1,2,1
2851,M,50001-75000,M,0,0,Bachelors ,Professional,1,4,1
2858,M,50001-75000,F,1,0,Partial College,Skilled Manual,1,1,0
2862,M,greater than 100000,F,1,3,Bachelors ,Management,0,3,0
2869,M,25001-50000,F,2,0,Bachelors ,Management,0,2,1
2876,M,25001-50000,M,1,0,Bachelors ,Clerical,1,0,0
2887,M,25001-50000,M,0,0,Graduate Degree,Clerical,0,0,1
2901,M,75001-100000,M,0,0,Bachelors ,Professional,1,2,0
2908,M,greater than 100000,M,4,5,Bachelors ,Management,1,1,1
